Date,Open,High,Low,Close
2013-01-01,12.934413262848972,14.744476963151325,12.821284393963616,13.462347984313965
2013-02-01,13.603758827453944,14.518217347384635,11.972815721423467,12.661017417907715
2013-03-01,12.604454403306198,16.43198548815952,12.557317146038537,15.998323440551758
2013-04-01,16.045458936166572,16.149159266636303,14.169402881301169,15.932329177856445
2013-05-01,15.941759382579459,18.572009156314383,15.649510007098954,16.563968658447266
2013-06-01,16.535687771712894,17.157897055437818,14.697341016438548,15.479816436767578
2013-07-01,15.555233020334306,18.374029576121536,15.121572841660814,18.242046356201172
2013-08-01,18.326892504818066,18.468303348904822,14.405087699931325,15.234700202941895
2013-09-01,15.442105175320517,18.364604222136638,15.187566333665412,17.874378204345703
2013-10-01,17.89323185252463,21.833891305002222,17.89323185252463,20.71202850341797
2013-11-01,20.7780240278065,24.030481202927074,20.363217254252508,22.135570526123047
2013-12-01,22.201560889390336,25.642568691872235,20.221805241778448,23.804222106933594
2014-01-01,23.634522152553853,32.24175051808746,23.62509452455563,31.62896728515625
2014-02-01,32.006068608263284,35.14539534115872,31.157599979765735,34.81543731689453
2014-03-01,34.09896571961916,37.59654017587387,33.01481491739735,34.50434494018555
2014-04-01,34.834298024166124,36.67264460930921,30.035743799611552,33.06194305419922
2014-05-01,33.80671240798492,38.02076826854255,33.4390437805246,37.86050033569336
2014-06-01,37.7096578440247,42.31023710795221,36.6255037424997,40.50017166137695
2014-07-01,40.9526826321805,41.48061907875008,35.72989832679613,36.6254997253418
2014-07-31,,,,
2014-08-01,36.623828425361104,38.7503733016724,33.29696667510745,36.74669647216797
2014-09-01,36.86011479142433,38.31561762540475,32.45580378363894,33.53325271606445
2014-10-01,32.81495580080096,39.459226858163554,26.558186581243024,39.081172943115234
2014-10-30,,,,
2014-11-01,39.264538831650746,46.85404294222566,39.25506538818787,45.982337951660156
2014-12-01,46.427667672230235,51.77158639333593,43.63253185478985,50.81460952758789
2015-01-01,51.430490675046556,53.249699340052345,45.574918545071554,46.503475189208984
2015-02-01,46.02972059095477,49.45968216143157,43.537785437468,45.38541793823242
2015-02-05,,,,
2015-03-01,45.76218008884869,53.21514768602201,44.11967906494172,50.11053466796875
2015-04-01,48.515517504155056,50.765652791241756,44.50895460528821,45.84764099121094
2015-04-30,,,,
2015-05-01,46.28412305976077,47.85388040235882,39.31058357083929,40.30952072143555
2015-06-01,40.5378461954535,42.22177028122961,36.580150077830496,37.99768829345703
2015-07-01,38.67316215869278,41.679488897514986,35.961757569988166,38.149906158447266
2015-08-01,38.283100779069656,42.28836450938664,32.44169044976638,37.084373474121094
2015-08-06,,,,
2015-09-01,36.837144021643816,42.52053357828553,35.969378178725876,37.027862548828125
2015-10-01,36.713174636869226,44.59935570317744,35.683296823060154,44.07488250732422
2015-11-01,44.055817683444744,44.90451141074402,38.57268029174549,39.34508514404297
2015-11-03,,,,
2015-12-01,39.63061892865525,44.427959640185954,38.89477147704515,40.47158432006836
