Date,High,Low,Open,Close,Volume,Adj Close,Day,Month,Year
2013-01-02,12.279999732971191,11.970000267028809,12.069999694824219,,10628500.0,10.863256454467773,2,1,2013
2013-01-03,12.609999656677246,12.119999885559082,12.140000343322754,0.35000038146972656,16272400.0,11.174142837524414,3,1,2013
2013-01-04,13.079999923706055,12.550000190734863,12.5600004196167,0.39999961853027344,17125600.0,11.52944278717041,4,1,2013
2013-01-07,13.380000114440918,12.890000343322754,13.140000343322754,0.010000228881835938,23137100.0,11.538325309753418,7,1,2013
2013-01-08,13.260000228881836,12.869999885559082,13.050000190734863,-0.010000228881835938,16685700.0,11.52944278717041,8,1,2013
2013-01-09,13.15999984741211,12.890000343322754,13.0,0.13000011444091797,10251700.0,11.644913673400879,9,1,2013
2013-01-10,13.649999618530273,13.170000076293945,13.449999809265137,0.1900005340576172,27721200.0,11.813681602478027,10,1,2013
2013-01-11,13.40999984741211,13.09000015258789,13.329999923706055,0.05000019073486328,14934900.0,11.858092308044434,11,1,2013
2013-01-14,13.489999771118164,13.170000076293945,13.300000190734863,0.08999919891357422,7996300.0,11.938035011291504,14,1,2013
2013-01-15,13.739999771118164,13.210000038146973,13.25,0.1900005340576172,17041000.0,12.106805801391602,15,1,2013
2013-01-16,14.109999656677246,13.520000457763672,13.550000190734863,0.28999996185302734,20083000.0,12.364396095275879,16,1,2013
2013-01-17,14.0,13.720000267028809,13.949999809265137,-0.09000015258789062,9910600.0,12.284454345703125,17,1,2013
2013-01-18,13.90999984741211,13.600000381469727,13.850000381469727,-0.2200002670288086,11337100.0,12.089038848876953,18,1,2013
2013-01-22,14.149999618530273,13.460000038146973,13.640000343322754,0.40000057220458984,16829300.0,12.44433879852295,22,1,2013
2013-01-23,14.149999618530273,13.739999771118164,14.050000190734863,-0.23000049591064453,20839900.0,12.24004077911377,23,1,2013
2013-01-24,14.170000076293945,13.710000038146973,13.829999923706055,0.15000057220458984,14578900.0,12.373279571533203,24,1,2013
2013-01-25,14.180000305175781,13.819999694824219,13.9399995803833,0.23999977111816406,10746000.0,12.586456298828125,25,1,2013
2013-01-28,14.199999809265137,13.899999618530273,14.15999984741211,-0.23000049591064453,9593800.0,12.382159233093262,28,1,2013
2013-01-29,13.930000305175781,13.609999656677246,13.890000343322754,-0.25999927520751953,16123200.0,12.151216506958008,29,1,2013
2013-01-30,13.920000076293945,13.680000305175781,13.720000267028809,0.15999984741210938,8168500.0,12.293335914611816,30,1,2013
2013-01-31,13.920000076293945,13.720000267028809,13.770000457763672,0.05000019073486328,6967400.0,12.337748527526855,31,1,2013
2013-02-01,14.09000015258789,13.739999771118164,13.970000267028809,-0.07000064849853516,10069500.0,12.2755708694458,1,2,2013
2013-02-04,13.949999809265137,13.4399995803833,13.640000343322754,0.039999961853027344,10041800.0,12.311100006103516,4,2,2013
2013-02-05,14.100000381469727,13.800000190734863,13.829999923706055,0.07000064849853516,19010700.0,12.373279571533203,5,2,2013
2013-02-06,14.489999771118164,13.90999984741211,13.90999984741211,0.5399999618530273,16494800.0,12.852927207946777,6,2,2013
2013-02-07,14.890000343322754,14.460000038146973,14.489999771118164,0.3899993896484375,16685200.0,13.199347496032715,7,2,2013
2013-02-08,14.880000114440918,14.520000457763672,14.770000457763672,-0.23999977111816406,9197200.0,12.986167907714844,8,2,2013
2013-02-11,14.899999618530273,14.609999656677246,14.65999984741211,0.06999969482421875,7583800.0,13.048344612121582,11,2,2013
2013-02-12,14.789999961853027,14.460000038146973,14.640000343322754,-0.18999958038330078,7146700.0,12.87957763671875,12,2,2013
2013-02-13,14.800000190734863,14.5,14.569999694824219,0.2799997329711914,7230400.0,13.128286361694336,13,2,2013
2013-02-14,14.680000305175781,14.020000457763672,14.600000381469727,-0.5399999618530273,17917800.0,12.64863395690918,14,2,2013
2013-02-15,14.5600004196167,14.3100004196167,14.369999885559082,0.21000003814697266,14248600.0,12.835166931152344,15,2,2013
2013-02-19,14.619999885559082,14.199999809265137,14.399999618530273,-0.14999961853027344,12245700.0,12.701929092407227,19,2,2013
2013-02-20,14.319999694824219,13.779999732971191,14.289999961853027,-0.48000049591064453,13822800.0,12.2755708694458,20,2,2013
2013-02-21,13.989999771118164,13.15999984741211,13.960000038146973,-0.25999927520751953,21229600.0,12.044625282287598,21,2,2013
2013-02-22,13.770000457763672,13.390000343322754,13.5600004196167,0.18999958038330078,8462800.0,12.213395118713379,22,2,2013
2013-02-25,14.34000015258789,13.819999694824219,13.84000015258789,0.2700004577636719,16933300.0,12.453221321105957,25,2,2013
2013-02-26,14.0,13.600000381469727,13.9399995803833,-0.12000083923339844,11452000.0,12.34662914276123,26,2,2013
