Date,High,Low,Open,Close,Volume,Adj Close,Day,Month,Year
2013-01-02,14.010000228881836,13.600000381469727,13.720000267028809,,6662000.0,13.179527282714844,2,1,2013
2013-01-03,14.130000114440918,13.600000381469727,14.020000457763672,-0.31999969482421875,5398400.0,12.87784481048584,3,1,2013
2013-01-04,14.869999885559082,13.760000228881836,13.800000190734863,1.0699996948242188,12048300.0,13.886580467224121,4,1,2013
2013-01-07,14.979999542236328,14.529999732971191,14.789999961853027,0.1100006103515625,5730600.0,13.990283012390137,7,1,2013
2013-01-08,15.25,14.779999732971191,14.890000343322754,0.31999969482421875,8034400.0,14.291959762573242,8,1,2013
2013-01-09,15.5,15.039999961853027,15.119999885559082,-0.029999732971191406,8493100.0,14.263679504394531,9,1,2013
2013-01-10,15.279999732971191,14.84000015258789,15.199999809265137,0.010000228881835938,5248800.0,14.273107528686523,10,1,2013
2013-01-11,15.3100004196167,14.720000267028809,15.100000381469727,-0.3600006103515625,4829400.0,13.933719635009766,11,1,2013
2013-01-14,14.8100004196167,14.40999984741211,14.8100004196167,-0.1099996566772461,5978000.0,13.8300142288208,14,1,2013
2013-01-15,14.529999732971191,14.109999656677246,14.239999771118164,-0.3599996566772461,7384900.0,13.490631103515625,15,1,2013
2013-01-16,14.699999809265137,14.220000267028809,14.390000343322754,0.31999969482421875,4263600.0,13.792305946350098,16,1,2013
2013-01-17,14.869999885559082,14.279999732971191,14.829999923706055,-0.15000057220458984,4675000.0,13.650897979736328,17,1,2013
2013-01-18,14.619999885559082,14.300000190734863,14.520000457763672,-0.039999961853027344,5297400.0,13.613187789916992,18,1,2013
2013-01-22,14.920000076293945,14.4399995803833,14.470000267028809,0.4100008010864258,6520700.0,13.999710083007812,22,1,2013
2013-01-23,15.640000343322754,15.020000457763672,15.319999694824219,0.2199993133544922,15854900.0,14.207113265991211,23,1,2013
2013-01-24,15.390000343322754,14.4399995803833,15.039999961853027,-0.39999961853027344,7112300.0,13.8300142288208,24,1,2013
